Frecuencias de nombres masculinos;;;
Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2016;;;
;;;
Nombres masculinos con frecuencia mayor o igual a 20 a nivel nacional.;;;
(*) Edad media de las personas que tienen ese nombre a nivel nacional.;;;
;;;
Orden;Nombre;Frecuencia;Edad Media (*)
619;JUAN ALFONSO;2.502 ;46,6
620;IBRAHIMA;2.499 ;33,2
621;NICANOR;2.489 ;59,4
622;ANGEL JESUS;2.468 ;39,0
623;HELIODORO;2.465 ;65,8
624;ABDELILAH;2.461 ;33,6
625;SABINO;2.457 ;64,0
626;ARTUR;2.456 ;29,6
627;DESIDERIO;2.452 ;63,5
628;EKAITZ;2.451 ;16,3
629;LINO;2.446 ;57,4
630;YERAI;2.445 ;10,3
631;FRANCISCO DAVID;2.444 ;31,3
632;RUBEN DARIO;2.430 ;36,9
633;TONI;2.426 ;14,5
634;HERMENEGILDO;2.424 ;64,3
635;SIXTO;2.416 ;60,1
636;WALID;2.415 ;11,1
637;ADRIANO;2.407 ;41,4
638;SEVERIANO;2.400 ;63,4
639;JONAS;2.392 ;28,8
640;SALAH;2.391 ;41,2
641;HORACIO;2.378 ;58,8
642;VICENTE JAVIER;2.378 ;44,4
643;LAHCEN;2.375 ;41,0
644;CARLOS LUIS;2.372 ;45,8
645;RAFAEL ANTONIO;2.371 ;44,8
646;FRANCISCO PAULA;2.367 ;46,0
647;MOURAD;2.362 ;32,2
648;LUIS IGNACIO;2.357 ;46,7
649;YAHYA;2.357 ;24,7
650;MHAMED;2.352 ;45,0
651;ESTANISLAO;2.351 ;57,7
652;JULIO JOSE;2.349 ;38,9
653;ERNEST;2.335 ;37,6
654;VICENÇ;2.335 ;50,0
655;HONORIO;2.325 ;66,3
656;KAMAL;2.315 ;30,5
657;JOSE MARTIN;2.312 ;49,2
658;JESUS DAVID;2.307 ;30,5
659;HERNAN;2.302 ;26,3
660;ROC;2.301 ;9,7
661;ANGEL FRANCISCO;2.294 ;45,4
662;ANDRES FELIPE;2.293 ;24,2
663;JOSE GREGORIO;2.293 ;44,6
664;DAMASO;2.287 ;58,1
665;ANTOLIN;2.286 ;62,2
666;XAVI;2.277 ;5,9
667;TARIK;2.274 ;28,7
